RTlexdec,Familiarity,AgeSubject,WrittenFrequency,WordCategory,LengthInLetters,FrequencyInitialDiphoneWord
6.54375355965694,2.37,young,3.91202300542815,N,3,10.1293075190537
6.3975960997593,4.43,young,4.52178857704904,N,5,9.0543880702023
6.30494228210337,5.6,young,6.50578406012823,N,6,12.422026412175
6.42422051545205,3.87,young,5.01727983681492,N,4,10.0481505087767
6.45059679646508,3.93,young,4.89034912822175,N,4,11.7963359270711
6.53197032497538,3.27,young,4.77068462446567,N,4,11.9915666826116
6.37058567987654,3.73,young,6.383506634884,N,4,9.4081250888235
6.2668589342206,5.67,young,7.15929190479756,N,3,9.75533551151227
6.60864818886089,3.1,young,4.89034912822175,N,3,6.42486902390539
6.28484286510464,4.43,young,5.92958914338989,N,5,11.1290114546924
6.60716356790878,3.27,young,3.40119738166216,N,5,12.0300512012847
6.41439294709245,6.73,young,11.2796936982972,N,3,9.28609698437543
6.63358155655515,1.72,young,3.52636052461616,N,5,12.0300512012847
6.33315528648419,3.3,young,5.99893656194668,N,4,9.22335530905368
6.47212988777908,2.23,young,1.94591014905531,N,5,11.4617690033259
6.32597056627565,4.33,young,6.59441345974978,N,5,8.96941465086618
6.47245448030239,3.8,young,4.07753744390572,N,4,11.0708171191632
6.44974345970876,4.1,young,5.80211837537706,N,5,10.0800844211932
6.38820840207076,4.66,young,6.16120732169508,N,4,9.22335530905368
6.37587624601831,4.13,young,5.03043792139244,N,5,11.3199473279877
6.42433403479506,3.4,young,3.97029191355212,N,4,11.7963359270711
6.54514849067587,1.97,young,2.484906649788,N,4,11.3102950727784
6.65544035036765,1.44,young,0.693147180559945,N,5,10.9445766549606
6.39359075395063,3.28,young,6.08449941307517,N,4,11.0708171191632
6.29882056210583,3.67,young,5.40717177146012,N,3,9.98681716012313
6.50964803527717,2.83,young,4.18965474202643,N,5,10.9998807140954
6.32491436367301,4.13,young,5.12396397940326,N,4,11.3364388517348
6.56629261084571,1.93,young,2.99573227355399,N,4,11.9915666826116
6.52702180709316,3.03,young,6.08449941307517,N,4,10.0481505087767
6.3812405557515,3.9,young,6.96696713861398,N,5,13.4784365403092
